x	y	classify	taxa	attr1	attr2
0.094046874	-0.009121885	1	A1	0.094046874	-0.009121885
0.065956254	0.009027414	1	A2	0.065956254	0.009027414
0.090703246	-0.017581266	1	A3	0.090703246	-0.017581266
0.066868536	0.017198997	1	A4	0.066868536	0.017198997
0.031509966	0.00940197	1	A5	0.031509966	0.00940197
0.11446513	0.067052748	1	A6	0.11446513	0.067052748
0.007558181	0.05684074	1	A7	0.007558181	0.05684074
0.065048557	-0.000621393	1	A8	0.065048557	-0.000621393
0.050823499	0.003831908	1	A9	0.050823499	0.003831908
0.086193928	0.011259883	1	A10	0.086193928	0.011259883
0.054504305	0.016885423	1	A11	0.054504305	0.016885423
0.060482301	0.045781093	1	A12	0.060482301	0.045781093
0.01306997	-0.005438547	1	A13	0.01306997	-0.005438547
0.029561723	0.032232803	1	A14	0.029561723	0.032232803
0.106279504	-0.036989465	1	A15	0.106279504	-0.036989465
0.017846524	0.023918267	1	A16	0.017846524	0.023918267
0.017521367	0.010498372	1	A17	0.017521367	0.010498372
0.127329901	-0.000275096	1	A18	0.127329901	-0.000275096
0.07455627	0.041332365	1	A19	0.07455627	0.041332365
0.108154966	-0.011767671	1	A20	0.108154966	-0.011767671
0.048705359	-0.010013806	1	A21	0.048705359	-0.010013806
0.095042579	0.002435549	1	A22	0.095042579	0.002435549
0.060844655	0.005134595	1	A23	0.060844655	0.005134595
0.061319309	-0.009650076	1	A24	0.061319309	-0.009650076
0.115285364	-0.026275839	1	A25	0.115285364	-0.026275839
0.055874915	-0.002403346	1	A26	0.055874915	-0.002403346
0.053713284	-0.017251059	1	A27	0.053713284	-0.017251059
0.100907301	-0.019944233	1	A28	0.100907301	-0.019944233
-0.095150344	0.020038675	1	A29	-0.095150344	0.020038675
0.141118636	0.083996607	1	A30	0.141118636	0.083996607
0.367337219	0.044812369	1	A31	0.367337219	0.044812369
0.127670187	0.033835568	1	A32	0.127670187	0.033835568
0.146742802	-0.013600973	1	A33	0.146742802	-0.013600973
0.148310312	0.044467146	1	A34	0.148310312	0.044467146
-0.057067022	-0.418752888	1	A35	-0.057067022	-0.418752888
0.066612275	0.073816655	1	A36	0.066612275	0.073816655
-0.020383885	0.002452579	1	A37	-0.020383885	0.002452579
