x	y	classify	taxa	attr1	attr2
1.85	27.8	1	A1	1.85	27.8
1.35	26.65	1	A2	1.35	26.65
1.4	23.25	2	A3	1.4	23.25
0.85	23.05	2	A4	0.85	23.05
0.5	22.35	2	A5	0.5	22.35
0.65	21.35	2	A6	0.65	21.35
1.1	22.05	2	A7	1.1	22.05
1.35	22.65	2	A8	1.35	22.65
1.95	22.8	2	A9	1.95	22.8
2.4	22.45	2	A10	2.4	22.45
1.8	22	2	A11	1.8	22
2.5	21.85	2	A12	2.5	21.85
2.95	21.4	2	A13	2.95	21.4
1.9	21.25	2	A14	1.9	21.25
1.35	21.45	2	A15	1.35	21.45
1.35	20.9	2	A16	1.35	20.9
1.25	20.35	2	A17	1.25	20.35
1.75	20.05	2	A18	1.75	20.05
2	20.6	2	A19	2	20.6
2.5	21	2	A20	2.5	21
1.7	19.05	2	A21	1.7	19.05
2.4	20.05	2	A22	2.4	20.05
3.05	20.45	2	A23	3.05	20.45
3.7	20.45	2	A24	3.7	20.45
3.45	19.9	2	A25	3.45	19.9
2.95	19.5	2	A26	2.95	19.5
2.4	19.4	2	A27	2.4	19.4
2.4	18.25	2	A28	2.4	18.25
2.85	18.75	2	A29	2.85	18.75
3.25	19.05	2	A30	3.25	19.05
3.95	19.6	2	A31	3.95	19.6
2.7	17.8	2	A32	2.7	17.8
3.45	18.05	2	A33	3.45	18.05
3.8	18.55	2	A34	3.8	18.55
4	19.1	2	A35	4	19.1
4.45	19.9	2	A36	4.45	19.9
4.65	19.15	2	A37	4.65	19.15
4.85	18.45	2	A38	4.85	18.45
4.3	18.05	2	A39	4.3	18.05
3.35	17.3	2	A40	3.35	17.3
3.7	16.3	2	A41	3.7	16.3
4.4	16.95	2	A42	4.4	16.95
4.25	17.4	2	A43	4.25	17.4
4.8	17.65	2	A44	4.8	17.65
5.25	18.25	2	A45	5.25	18.25
5.75	18.55	2	A46	5.75	18.55
5.3	19.25	2	A47	5.3	19.25
6.05	19.55	2	A48	6.05	19.55
6.5	18.9	2	A49	6.5	18.9
6.05	18.2	2	A50	6.05	18.2
5.6	17.8	2	A51	5.6	17.8
5.45	17.15	2	A52	5.45	17.15
5.05	16.55	2	A53	5.05	16.55
4.55	16.05	2	A54	4.55	16.05
4.95	15.45	2	A55	4.95	15.45
5.85	14.8	2	A56	5.85	14.8
5.6	15.3	2	A57	5.6	15.3
5.65	16	2	A58	5.65	16
5.95	16.8	2	A59	5.95	16.8
6.25	16.4	2	A60	6.25	16.4
6.1	17.45	2	A61	6.1	17.45
6.6	17.65	2	A62	6.6	17.65
6.65	18.3	2	A63	6.65	18.3
7.3	18.35	2	A64	7.3	18.35
7.85	18.3	2	A65	7.85	18.3
7.15	17.8	2	A66	7.15	17.8
7.6	17.7	2	A67	7.6	17.7
6.7	17.25	2	A68	6.7	17.25
7.3	17.25	2	A69	7.3	17.25
6.7	16.8	2	A70	6.7	16.8
7.3	16.65	2	A71	7.3	16.65
6.75	16.3	2	A72	6.75	16.3
7.4	16.2	2	A73	7.4	16.2
6.55	15.75	2	A74	6.55	15.75
7.35	15.8	2	A75	7.35	15.8
6.8	14.95	2	A76	6.8	14.95
7.45	15.1	2	A77	7.45	15.1
6.85	14.45	2	A78	6.85	14.45
