x	y	classify	taxa	attr1	attr2
-225.0367446	11.41344959	1	A1	-225.0367446	11.41344959
-28.1204687	-129.765531	2	A2	-28.1204687	-129.765531
-243.0828786	121.8785632	1	A3	-243.0828786	121.8785632
-199.2835148	76.02888403	1	A4	-199.2835148	76.02888403
-82.40896057	96.55756151	3	A5	-82.40896057	96.55756151
-164.4062815	-67.33474775	1	A6	-164.4062815	-67.33474775
147.0142135	-126.1207272	4	A7	147.0142135	-126.1207272
-182.4506843	-90.90906605	1	A8	-182.4506843	-90.90906605
-68.81270863	-106.0221838	3	A9	-68.81270863	-106.0221838
-244.5650643	37.06122442	1	A10	-244.5650643	37.06122442
-59.37074199	52.41016302	3	A11	-59.37074199	52.41016302
66.18166812	-200.8714455	4	A12	66.18166812	-200.8714455
-122.2089337	-44.41433453	1	A13	-122.2089337	-44.41433453
-126.931205	214.912235	3	A14	-126.931205	214.912235
-129.6870588	162.5683517	3	A15	-129.6870588	162.5683517
-27.09437808	58.93111194	3	A16	-27.09437808	58.93111194
24.91145009	-97.83075738	2	A17	24.91145009	-97.83075738
36.77406954	-169.9281132	4	A18	36.77406954	-169.9281132
75.00315553	-161.4127368	4	A19	75.00315553	-161.4127368
-150.2352911	-14.00390614	1	A20	-150.2352911	-14.00390614
74.65812578	206.2628421	3	A21	74.65812578	206.2628421
-46.54799775	-215.3141657	4	A22	-46.54799775	-215.3141657
190.2448496	9.556507731	2	A23	190.2448496	9.556507731
77.61560827	245.5056107	3	A24	77.61560827	245.5056107
35.91915365	-250.607389	4	A25	35.91915365	-250.607389
128.9780586	22.62056392	2	A26	128.9780586	22.62056392
-48.0918028	211.6488752	5	A27	-48.0918028	211.6488752
4.240571785	185.0839871	3	A28	4.240571785	185.0839871
118.8637197	120.7563163	3	A29	118.8637197	120.7563163
-233.2952806	-133.6847838	3	A30	-233.2952806	-133.6847838
-37.17704673	147.318196	3	A31	-37.17704673	147.318196
-129.993735	-90.97952578	3	A32	-129.993735	-90.97952578
120.2708288	-132.122804	4	A33	120.2708288	-132.122804
8.463375471	148.1176995	3	A34	8.463375471	148.1176995
-147.716278	22.53228455	1	A35	-147.716278	22.53228455
-63.32765386	138.2105761	3	A36	-63.32765386	138.2105761
145.45957	-141.3712774	4	A37	145.45957	-141.3712774
205.1502744	27.12461543	2	A38	205.1502744	27.12461543
5.220063515	173.014198	3	A39	5.220063515	173.014198
-46.04892144	-50.82063137	3	A40	-46.04892144	-50.82063137
120.0781296	-176.4972637	4	A41	120.0781296	-176.4972637
-211.5083348	-18.4439249	1	A42	-211.5083348	-18.4439249
-125.7653412	-12.88616578	1	A43	-125.7653412	-12.88616578
39.67032601	-222.713684	4	A44	39.67032601	-222.713684
52.83080465	-220.7050465	4	A45	52.83080465	-220.7050465
-25.47308063	79.21723374	3	A46	-25.47308063	79.21723374
-259.7380982	-54.20506027	1	A47	-259.7380982	-54.20506027
-168.4576667	-206.5686594	5	A48	-168.4576667	-206.5686594
40.62481644	153.5231946	3	A49	40.62481644	153.5231946
150.8233209	49.48397116	2	A50	150.8233209	49.48397116
-33.18725	154.7215349	3	A51	-33.18725	154.7215349
172.5747305	57.12578427	2	A52	172.5747305	57.12578427
121.1301289	182.2592292	3	A53	121.1301289	182.2592292
-207.4740905	-5.401786843	1	A54	-207.4740905	-5.401786843
263.9592987	-5.268360163	5	A55	263.9592987	-5.268360163
-215.9979252	-124.8817741	3	A56	-215.9979252	-124.8817741
-106.1491556	141.9005009	3	A57	-106.1491556	141.9005009
120.4997072	-69.00116454	5	A58	120.4997072	-69.00116454
109.8982507	-160.6207858	4	A59	109.8982507	-160.6207858
-83.75443353	51.46960072	3	A60	-83.75443353	51.46960072
172.8127906	51.01557562	2	A61	172.8127906	51.01557562
-52.72962405	-162.8428039	4	A62	-52.72962405	-162.8428039
11.15452603	19.06604081	3	A63	11.15452603	19.06604081
176.9123322	18.71452256	2	A64	176.9123322	18.71452256
-201.8281426	21.45725871	1	A65	-201.8281426	21.45725871
192.6207144	104.3392438	5	A66	192.6207144	104.3392438
-93.98796526	-89.42820497	3	A67	-93.98796526	-89.42820497
-221.008517	16.53665086	1	A68	-221.008517	16.53665086
97.74444921	-176.1575677	4	A69	97.74444921	-176.1575677
-74.33909499	54.0187388	3	A70	-74.33909499	54.0187388
94.79426614	-216.4768335	4	A71	94.79426614	-216.4768335
-4.72751911	43.97864372	3	A72	-4.72751911	43.97864372
